angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
33	0.00121075
33.03	0.00101592
33.06	0.000874505
33.09	0.000941287
33.12	0.00109659
33.15	0.00110278
33.18	0.00106564
33.21	0.00135251
33.24	0.00176738
33.27	0.00247399
33.3	0.00176969
33.33	0.00137383
33.36	0.00138351
33.39	0.00170381
33.42	0.00183726
33.45	0.00136866
33.48	0.00117824
33.51	0.00155755
33.54	0.00199295
33.57	0.00201916
33.6	0.00225897
33.63	0.00243391
33.66	0.00266599
33.69	0.00267919
33.72	0.00263115
33.75	0.0030469
33.78	0.00316397
33.81	0.00318575
33.84	0.00335962
33.87	0.00344458
33.9	0.00357748
33.93	0.00391754
33.96	0.00418092
33.99	0.00346663
34.02	0.00404772
34.05	0.00358711
34.08	0.00416668
34.11	0.00453958
34.14	0.00460064
34.17	0.00450712
34.2	0.00430976
34.23	0.00373312
34.26	0.00325278
34.29	0.00268292
34.32	0.00213385
34.35	0.0014563
34.38	0.000874089
34.41	0.000649703
34.44	0.000128968
34.47	0.000345073
34.5	-0.000129656
34.53	0.000252555
34.56	9.15E-05
34.59	-0.000179633
34.62	0.000133402
34.65	8.83E-05
34.68	-3.67E-05
34.71	-2.82E-05
34.74	-0.000282441
34.77	0.000104435
34.8	5.45E-05
34.83	-2.20E-06
34.86	-0.000129101
34.89	0.000215272
34.92	0.000223446
34.95	6.21E-05
34.98	0.000125189
