angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
34.8	-5.11E-05
34.8	4.57E-05
34.81	-6.61E-05
34.82	6.15E-05
34.82	0.000153984
34.83	4.26E-05
34.83	2.32E-05
34.84	2.32E-05
34.84	4.73E-07
34.85	1.63E-05
34.85	5.54E-05
34.86	0.0001737
34.86	3.24E-05
34.87	-6.74E-05
34.87	9.10E-05
34.88	6.46E-07
34.88	0.000284276
34.89	0.000173333
34.89	-0.000213128
34.9	-4.24E-05
34.9	-0.000105197
34.91	-2.77E-05
34.91	-4.16E-05
34.92	-0.000155739
34.92	-5.32E-06
34.93	8.32E-06
34.93	0.000118803
34.94	-1.53E-05
34.94	2.54E-05
34.95	-0.000142103
