angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
33	0.000627759
33.03	0.00118583
33.06	0.00245362
33.09	0.00201097
33.12	0.00194472
33.15	0.00185182
33.18	0.00205917
33.21	0.00236959
33.24	0.00246895
33.27	0.00217122
33.3	0.00266597
33.33	0.002673
33.36	0.00281891
33.39	0.00270406
33.42	0.00320092
33.45	0.00274843
33.48	0.00234975
33.51	0.00281008
33.54	0.00333211
33.57	0.00385444
33.6	0.00422198
33.63	0.00454524
33.66	0.00467165
33.69	0.00486681
33.72	0.00518845
33.75	0.00534081
33.78	0.00588364
33.81	0.00607941
33.84	0.00642688
33.87	0.00677312
33.9	0.00716484
33.93	0.00713718
33.96	0.00806162
33.99	0.00816084
34.02	0.00796225
34.05	0.00839504
34.08	0.00988745
34.11	0.0109521
34.14	0.0117236
34.17	0.0119835
34.2	0.0115273
34.23	0.011035
34.26	0.00993305
34.29	0.00888865
34.32	0.0073244
34.35	0.00566857
34.38	0.0042263
34.41	0.00309584
34.44	0.00215416
34.47	0.00164618
34.5	0.000986632
34.53	0.000582362
34.56	0.000470601
34.59	0.000401076
34.62	0.000609105
34.65	0.000177002
34.68	0.000216214
34.71	4.24E-05
34.74	0.000158648
34.77	0.000138921
34.8	0.000105684
34.83	0.000336347
34.86	0.000112924
34.89	2.20E-05
34.92	0.000407405
34.95	0.000241718
34.98	0.000187355
